cora
73.55982274741507 55.456443078248576 51.547359318392935 72.09458861597923
74.59379615952733 55.9160814172465 51.199721544655795 73.82877094626281
76.6248153618907 59.893835548806365 57.46654956539674 74.32262375866773
74.85228951255539 57.654927759009034 51.05481233785915 74.6725840628774
76.03397341211226 58.60671898535673 53.89730734937006 75.19066864404328
75.7754800590842 58.214810488925764 55.08698101972328 73.47561835961177
75.48005908419498 58.839158332887486 52.642796513029644 75.10496576679266
77.73264401772526 57.95135748272193 56.645350994817655 76.2481179773375
75.18463810930575 58.44951349873308 52.516004713228114 75.25272013029698
76.03397341211226 58.95591907573683 55.59592768403557 74.55467974186082
3 0.0003 500 0.5
75.58714918759232 1.0920154019790613
58.44387656676722 1.2943863174184855
54.17528110405089 2.2085822666668746
74.47453380037301 1.0867001940234742
Namespace(alpha=0.55, beta=1e-20, cluster_num=7, cuda=True, dataset='cora', device='cuda:0', dims=500, dropout=0.0, epochs=400, exp_lr=2e-05, exp_wd=2e-05, gamma=1e-20,
 gnnlayers=3, gpu=0, hid_dim=2708, hidden=128, hop_num=2, knn=30, lr=0.0003, n_layers=2, no_cuda=False, seed=42, sigma=0.5, threshold=0.95, type=None, v_input=1)

